id,sales_date,sales_amount
92,2025-04-02,6561
93,2025-04-03,5278
94,2025-04-04,6099
95,2025-04-05,3200
96,2025-04-06,7875
97,2025-04-07,6104
98,2025-04-08,7598
99,2025-04-09,5454
100,2025-04-10,6645
101,2025-04-11,3804
102,2025-04-12,5731
103,2025-04-13,5773
104,2025-04-14,4570
105,2025-04-15,5690
106,2025-04-16,6840
107,2025-04-17,4028
108,2025-04-18,3502
109,2025-04-19,7493
110,2025-04-20,3870
111,2025-04-21,7488
112,2025-04-22,3206
113,2025-04-23,4484
114,2025-04-24,3863
115,2025-04-25,5790
116,2025-04-26,3563
117,2025-04-27,7191
118,2025-04-28,4757
119,2025-04-29,4678
120,2025-04-30,6242
121,2025-05-01,7636
122,2025-05-02,4059
123,2025-05-03,4722
124,2025-05-04,6314
125,2025-05-05,6157
126,2025-05-06,5625
127,2025-05-07,5729
128,2025-05-08,4597
129,2025-05-09,6060
130,2025-05-10,5693
131,2025-05-11,7891
132,2025-05-12,6627
133,2025-05-13,4363
134,2025-05-14,4981
135,2025-05-15,4663
136,2025-05-16,4529
137,2025-05-17,5038
138,2025-05-18,6302
139,2025-05-19,5237
140,2025-05-20,4306
141,2025-05-21,7029
142,2025-05-22,5675
143,2025-05-23,4282
144,2025-05-24,3709
145,2025-05-25,7744
146,2025-05-26,7413
147,2025-05-27,6748
148,2025-05-28,7779
149,2025-05-29,3663
150,2025-05-30,4998
151,2025-05-31,6445
152,2025-06-01,6743
153,2025-06-02,4495
154,2025-06-03,6304
155,2025-06-04,6763
156,2025-06-05,4853
157,2025-06-06,7659
158,2025-06-07,4291
159,2025-06-08,6581
160,2025-06-09,6457
161,2025-06-10,4636
162,2025-06-11,6696
163,2025-06-12,5999
164,2025-06-13,6152
165,2025-06-14,3698
166,2025-06-15,5160
167,2025-06-16,7097
168,2025-06-17,7737
169,2025-06-18,3854
170,2025-06-19,6474
171,2025-06-20,4707
172,2025-06-21,5777
173,2025-06-22,4733
174,2025-06-23,7931
175,2025-06-24,6510
176,2025-06-25,3202
177,2025-06-26,6255
178,2025-06-27,7218
179,2025-06-28,7496
180,2025-06-29,3766
181,2025-06-30,7389
182,2025-07-01,5327
183,2025-07-02,5931
184,2025-07-03,3197
185,2025-07-04,4930
186,2025-07-05,6582
187,2025-07-06,3608
188,2025-07-07,6272
189,2025-07-08,4147
190,2025-07-09,7282
191,2025-07-10,6397
192,2025-07-11,5511
193,2025-07-12,4794
194,2025-07-13,3659
195,2025-07-14,5811
196,2025-07-15,4369
197,2025-07-16,4986
198,2025-07-17,3146
199,2025-07-18,6219
200,2025-07-19,5911
201,2025-07-20,4734
202,2025-07-21,4843
203,2025-07-22,3488
204,2025-07-23,5976
205,2025-07-24,4959
206,2025-07-25,5385
207,2025-07-26,5919
208,2025-07-27,7736
209,2025-07-28,4802
210,2025-07-29,7061
211,2025-07-30,6369
212,2025-07-31,3262
213,2025-08-01,3623
214,2025-08-02,4016
215,2025-08-03,6643
216,2025-08-04,7976
217,2025-08-05,5049
218,2025-08-06,6723
219,2025-08-07,7548
220,2025-08-08,6108
221,2025-08-09,7090
222,2025-08-10,5056
223,2025-08-11,6170
224,2025-08-12,4682
225,2025-08-13,5255
226,2025-08-14,4154
227,2025-08-15,7499
228,2025-08-16,6191
229,2025-08-17,4696
230,2025-08-18,6991
231,2025-08-19,7723
232,2025-08-20,7682
233,2025-08-21,4648
234,2025-08-22,4445
235,2025-08-23,7199
236,2025-08-24,6923
237,2025-08-25,3253
238,2025-08-26,6183
239,2025-08-27,5557
240,2025-08-28,3098
241,2025-08-29,5200
242,2025-08-30,5961
243,2025-08-31,7973
244,2025-09-01,7433
245,2025-09-02,6777
246,2025-09-03,5869
247,2025-09-04,6234
248,2025-09-05,6791
249,2025-09-06,3956
250,2025-09-07,7067
251,2025-09-08,3160
252,2025-09-09,7493
253,2025-09-10,4300
254,2025-09-11,7911
255,2025-09-12,6987
256,2025-09-13,4527
257,2025-09-14,4218
258,2025-09-15,7496
259,2025-09-16,7735
260,2025-09-17,6104
261,2025-09-18,5735
262,2025-09-19,7555
263,2025-09-20,3954
264,2025-09-21,7565
265,2025-09-22,6446
266,2025-09-23,4045
267,2025-09-24,4693
268,2025-09-25,6436
269,2025-09-26,3562
270,2025-09-27,5485
271,2025-09-28,6354
272,2025-09-29,3225
273,2025-09-30,7893
274,2025-10-01,3959
275,2025-10-02,7548
276,2025-10-03,6067
277,2025-10-04,3815
278,2025-10-05,7754
279,2025-10-06,7642
280,2025-10-07,6120
281,2025-10-08,3016
282,2025-10-09,4243
283,2025-10-10,5205
284,2025-10-11,5524
285,2025-10-12,4069
286,2025-10-13,6444
287,2025-10-14,5565
288,2025-10-15,4060
289,2025-10-16,5327
290,2025-10-17,6420
291,2025-10-18,3301
292,2025-10-19,7276
293,2025-10-20,3606
294,2025-10-21,6170
295,2025-10-22,3699
296,2025-10-23,4139
297,2025-10-24,3190
298,2025-10-25,5300
299,2025-10-26,3980
300,2025-10-27,5975
301,2025-10-28,4184
302,2025-10-29,6327
303,2025-10-30,6394
304,2025-10-31,3127
305,2025-11-01,5065
306,2025-11-02,4816
307,2025-11-03,3569
308,2025-11-04,4895
309,2025-11-05,5733
310,2025-11-06,6863
311,2025-11-07,7721
312,2025-11-08,7014
313,2025-11-09,5901
314,2025-11-10,4686
315,2025-11-11,6009
316,2025-11-12,3154
317,2025-11-13,5537
318,2025-11-14,4409
319,2025-11-15,7057
320,2025-11-16,3784
321,2025-11-17,6175
322,2025-11-18,7341
323,2025-11-19,5806
324,2025-11-20,3537
325,2025-11-21,4841
326,2025-11-22,5455
327,2025-11-23,3524
328,2025-11-24,5950
329,2025-11-25,7131
330,2025-11-26,7780
331,2025-11-27,7115
332,2025-11-28,5368
333,2025-11-29,6847
334,2025-11-30,7495
335,2025-12-01,5701
336,2025-12-02,3971
337,2025-12-03,4166
338,2025-12-04,7929
339,2025-12-05,5774
340,2025-12-06,4982
341,2025-12-07,3853
342,2025-12-08,7146
343,2025-12-09,6736
344,2025-12-10,6769
345,2025-12-11,3574
346,2025-12-12,6261
347,2025-12-13,4148
348,2025-12-14,4715
349,2025-12-15,7777
350,2025-12-16,7933
351,2025-12-17,6854
352,2025-12-18,5491
353,2025-12-19,5660
354,2025-12-20,6124
355,2025-12-21,6051
356,2025-12-22,3004
357,2025-12-23,7869
358,2025-12-24,3876
359,2025-12-25,3991
360,2025-12-26,7142
361,2025-12-27,7364
362,2025-12-28,7465
363,2025-12-29,3635
364,2025-12-30,4693
365,2025-12-31,4682
